t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1743439190,494293,41.287710,1.925175,0.884043,2.569641,1.397830,1.610877,3.615851,7.390979,14.873668,36.469886,3630.888900,3313.791428,2511.247264,2134.935296,calls/second,milliseconds
1743439191,501257,4.047057,1.433084,0.960437,0.284452,1.371858,1.503103,1.954199,2.404172,2.672865,3.453160,3655.157417,3313.791428,2511.247264,2134.935296,calls/second,milliseconds
1743439192,508474,4.470894,1.382960,0.953008,0.211302,1.351125,1.452765,1.669056,1.908233,2.235798,3.548528,3680.919880,3313.791428,2511.247264,2134.935296,calls/second,milliseconds
1743439193,515654,8.759469,1.390595,0.923673,0.272170,1.343696,1.465367,1.800200,2.215668,2.493409,3.242226,3706.026155,3313.791428,2511.247264,2134.935296,calls/second,milliseconds
1743439194,522775,6.543088,1.402039,0.923600,0.223083,1.371307,1.488990,1.744465,1.923924,2.074622,3.111977,3730.353877,3581.819227,2579.919286,2160.038083,calls/second,milliseconds
1743439195,528261,45.313548,2.082304,1.003973,2.606720,1.487198,1.809713,4.667605,8.500592,13.245291,34.978679,3740.287318,3581.819227,2579.919286,2160.038083,calls/second,milliseconds
1743439196,530926,62.425176,3.758619,0.985298,4.972259,2.516208,3.946505,9.318064,16.600120,26.060534,58.415892,3732.688853,3581.819227,2579.919286,2160.038083,calls/second,milliseconds
1743439197,534290,15.320877,3.082148,1.039013,2.241714,1.911825,4.375898,7.652468,9.444689,10.427897,12.865610,3729.374245,3581.819227,2579.919286,2160.038083,calls/second,milliseconds
1743439198,537650,13.072602,2.990509,1.057215,1.782979,2.234839,3.956893,6.505694,7.550854,8.602805,12.811130,3726.679695,3581.819227,2579.919286,2160.038083,calls/second,milliseconds
1743439199,542488,45.808193,2.074566,0.999255,1.691814,1.489387,1.878355,5.391323,7.026994,8.370924,12.926926,3734.184336,3596.705419,2599.556533,2168.946436,calls/second,milliseconds
1743439201,552374,3.971752,1.311671,0.896962,0.245279,1.257242,1.390263,1.725740,2.073485,2.353306,3.041644,3767.682521,3596.705419,2599.556533,2168.946436,calls/second,milliseconds
1743439202,559754,31.379352,1.377977,0.922205,0.956569,1.310829,1.428442,1.679150,1.903002,2.195005,22.446477,3791.654742,3596.705419,2599.556533,2168.946436,calls/second,milliseconds
1743439203,567928,65.991714,1.464611,0.802896,1.725015,1.345802,1.463524,1.756109,2.045943,2.453585,29.452705,3815.941896,3596.705419,2599.556533,2168.946436,calls/second,milliseconds
