t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1743018679,704492,2.313388,0.848291,0.544336,0.098117,0.844796,0.906038,0.998009,1.037592,1.071022,1.687112,11496.246130,11247.394232,10900.370035,10814.634009,calls/second,milliseconds
1743018680,716269,2.332921,0.847328,0.562541,0.103218,0.841384,0.902666,0.997889,1.049059,1.094381,1.938641,11499.926393,11247.394232,10900.370035,10814.634009,calls/second,milliseconds
1743018681,728008,2.181175,0.851302,0.563678,0.093880,0.847270,0.908370,0.999365,1.039955,1.067636,1.526848,11502.661609,11247.394232,10900.370035,10814.634009,calls/second,milliseconds
1743018682,739583,2.403521,0.860292,0.560610,0.103084,0.855165,0.919154,1.025354,1.076867,1.117024,1.631687,11503.392738,11247.394232,10900.370035,10814.634009,calls/second,milliseconds
1743018683,750887,12.635633,0.881689,0.526991,0.204978,0.858422,0.929118,1.086490,1.264533,1.461002,3.197966,11499.818086,11280.544279,10912.958671,10819.328546,calls/second,milliseconds
1743018684,762691,8.292204,0.845554,0.562889,0.133946,0.839819,0.902728,1.006939,1.058866,1.103614,1.971382,11503.591915,11280.544279,10912.958671,10819.328546,calls/second,milliseconds
1743018685,774418,2.358165,0.850918,0.550548,0.119880,0.839820,0.905589,1.023900,1.125646,1.267609,1.790205,11506.151257,11280.544279,10912.958671,10819.328546,calls/second,milliseconds
1743018686,786296,7.481328,0.841191,0.528460,0.113750,0.837774,0.902257,0.998236,1.043905,1.076622,1.248241,11510.671787,11280.544279,10912.958671,10819.328546,calls/second,milliseconds
1743018687,797830,6.090108,0.863661,0.573571,0.129896,0.855182,0.924527,1.042683,1.114932,1.183681,2.010750,11510.541289,11280.544279,10912.958671,10819.328546,calls/second,milliseconds
1743018688,809524,2.416079,0.851140,0.583637,0.103121,0.845455,0.909815,1.011279,1.058650,1.105964,1.698966,11512.820979,11306.662229,10924.433471,10823.693473,calls/second,milliseconds
1743018689,821285,8.216996,0.847383,0.568284,0.116486,0.844747,0.906042,0.995582,1.038749,1.071271,1.274153,11515.887561,11306.662229,10924.433471,10823.693473,calls/second,milliseconds
1743018690,832962,2.301385,0.853162,0.553088,0.109187,0.847277,0.914328,1.015510,1.069997,1.113811,1.896938,11517.656875,11306.662229,10924.433471,10823.693473,calls/second,milliseconds
1743018691,844558,4.179639,0.858088,0.534745,0.107874,0.853060,0.919417,1.017216,1.069714,1.107382,1.833303,11518.463388,11306.662229,10924.433471,10823.693473,calls/second,milliseconds
1743018692,855988,2.329956,0.874959,0.559283,0.113395,0.866408,0.937742,1.063759,1.126016,1.180139,1.680071,11516.291395,11306.662229,10924.433471,10823.693473,calls/second,milliseconds
1743018693,867319,4.591722,0.878871,0.560011,0.182619,0.855240,0.930887,1.095346,1.273959,1.474883,2.901647,11513.468336,11329.668471,10935.507044,10827.963305,calls/second,milliseconds
1743018694,879064,2.649357,0.847533,0.536830,0.113500,0.840309,0.906122,1.013461,1.074873,1.153682,1.837559,11516.221900,11329.668471,10935.507044,10827.963305,calls/second,milliseconds
1743018695,890842,4.711666,0.850224,0.557179,0.131973,0.839392,0.907658,1.017007,1.097334,1.228924,2.107387,11518.477499,11329.668471,10935.507044,10827.963305,calls/second,milliseconds
1743018696,902623,5.639988,0.846641,0.533175,0.113698,0.840519,0.906897,1.007299,1.057326,1.094699,1.753862,11521.225994,11329.668471,10935.507044,10827.963305,calls/second,milliseconds
1743018697,913945,3.110236,0.878855,0.548643,0.144041,0.861533,0.935186,1.085453,1.226789,1.388376,2.120336,11518.466422,11329.668471,10935.507044,10827.963305,calls/second,milliseconds
1743018698,925644,2.279359,0.853258,0.571678,0.098132,0.848101,0.912583,1.012859,1.060830,1.103612,1.344455,11520.055040,11346.661553,10945.534796,10831.920284,calls/second,milliseconds
1743018699,937410,2.256149,0.846540,0.575202,0.104334,0.842228,0.904528,1.003344,1.049553,1.089786,1.771043,11522.707238,11346.661553,10945.534796,10831.920284,calls/second,milliseconds
1743018700,949170,5.957620,0.847788,0.543506,0.110744,0.843622,0.907977,1.003873,1.054219,1.088658,1.334879,11525.035639,11346.661553,10945.534796,10831.920284,calls/second,milliseconds
1743018701,960951,1.774980,0.845768,0.549109,0.097380,0.841826,0.905594,0.999531,1.049490,1.083058,1.604437,11527.670809,11346.661553,10945.534796,10831.920284,calls/second,milliseconds
1743018702,972542,2.978946,0.861329,0.575192,0.108459,0.853826,0.923553,1.032693,1.090238,1.131344,1.575235,11527.749843,11346.661553,10945.534796,10831.920284,calls/second,milliseconds
1743018703,983932,4.578227,0.876885,0.547826,0.181270,0.853566,0.928236,1.092521,1.258261,1.556649,2.723948,11525.446464,11373.681620,10957.750470,10836.644260,calls/second,milliseconds
1743018704,995657,5.235398,0.849904,0.548555,0.126682,0.841344,0.905779,1.012755,1.069570,1.143160,2.025077,11527.386728,11373.681620,10957.750470,10836.644260,calls/second,milliseconds
1743018705,1000000,2.515436,0.847753,0.548555,0.105646,0.840759,0.903998,1.007020,1.057843,1.119572,1.830270,11526.248672,11373.681620,10957.750470,10836.644260,calls/second,milliseconds
